doc_id,filename,title,doc_type,access_level,role_min,owner_department,topics
INS-HR-001,INS-HR-001_onboarding.md,Инструкция по адаптации новых сотрудников,instruction,1,junior,HR,"онбординг,адаптация,доступы,оборудование,план 30-60-90"
INS-HR-002,INS-HR-002_corporate_tools.md,Правила работы с корпоративными инструментами,instruction,1,junior,IT,"Slack,Jira,GitLab,VPN,пароли,инструменты"
POL-HR-001,POL-HR-001_code_of_conduct.md,Кодекс поведения сотрудника,policy,1,junior,HR,"этика,поведение,конфиденциальность,конфликт интересов"
STD-ENG-001,STD-ENG-001_code_review.md,Стандарт код-ревью,standard,2,middle,Engineering,"код-ревью,MR,pull request,качество кода,апрув"
STD-ENG-002,STD-ENG-002_git_workflow.md,Руководство по Git-workflow,standard,2,middle,Engineering,"git,ветки,GitFlow,коммиты,merge,release"
STD-ENG-003,STD-ENG-003_tech_docs.md,Стандарт написания технической документации,standard,2,middle,Engineering,"документация,README,ADR,микросервис,спецификация"
STD-ARCH-001,STD-ARCH-001_microservices.md,Архитектурный стандарт микросервисов,standard,3,senior,Architecture,"микросервисы,архитектура,API,безопасность,observability"
STD-ARCH-002,STD-ARCH-002_production.md,Регламент работы с продакшн-системами,standard,3,senior,Engineering,"продакшн,деплой,hotfix,rollback,инциденты"
POL-ARCH-001,POL-ARCH-001_tech_debt.md,Политика управления техническим долгом,policy,3,senior,Architecture,"технический долг,рефакторинг,спринт,приоритизация"
POL-SEC-001,POL-SEC-001_access_policy.md,Политика согласования доступов к системам,policy,4,manager,IT,"доступы,согласование,роли,увольнение,матрица"
POL-SEC-002,POL-SEC-002_grades.md,HR-политика грейдов и повышений,policy,4,manager,HR,"грейды,повышение,performance review,карьера,оценка"
POL-MGR-001,POL-MGR-001_budgeting.md,Регламент бюджетирования IT-проектов,policy,4,manager,Finance,"бюджет,OPEX,CAPEX,согласование,расходы"
POL-SEC-004,POL-SEC-004_access_matrix.md,Матрица доступов к системам,matrix,5,admin,IT,"матрица,доступы,системы,роли,сервисные аккаунты"
POL-SEC-005,POL-SEC-005_incidents.md,Регламент управления инцидентами ИБ,policy,5,admin,IT,"инциденты,ИБ,реагирование,postmortem,severity"
POL-SEC-003,POL-SEC-003_access_audit.md,Политика аудита и контроля доступов,policy,5,admin,IT,"аудит,контроль,журналы,квартальный,несоответствия"
